Acetyl sulfisoxazole,C13H15N3O4S,1.20E-04,309.35
"N1-(3,4-Dimethyl-5-isoxazolyl)-N4-acetylsulfanilamide",C13H15N3O4S,2.45E-02,309.35
"2,4-Dichlorophenoxyacetic acid 1-ethylpropyl ester",C13H16Cl2O3,1.67E-05,291.18
"2,4-Dichlorophenoxyacetic acid n-pentyl ester",C13H16Cl2O3,2.90E-05,291.18
"2,4-Dichlorophenoxyacetic acid 2-methylbutyl ester",C13H16Cl2O3,1.29E-05,291.18
Benefin,C13H16F3N3O4,2.98E-06,335.29
Trifluralin,C13H16F3N3O4,1.73E-06,335.29
Isoxathion,C13H16NO4PS,6.06E-06,313.31
3-(1-Methyl-2-pyrrolidinyl)-indole,C13H16N2,3.51E-03,200.29
Melatonin,C13H16N2O2,1.87E-03,232.28
N-Acetyl-l-tyrosinamide acetate,C13H16N2O4,1.30E-02,264.28
Methyl-2-ethyl-2-phenylmalonurate,C13H16N2O4,1.80E-03,264.28
Medinoterb acetate,C13H16N2O6,3.38E-05,296.28
2-Sulfanilylamino-4-ethyl-5-methylpyrimidine,C13H16N4O2S,5.13E-04,292.36
9-[5-O-(Acetate-ß-d-arabinofuranosyl)]-6-methoxy-9H-purine (hemihydrate),C13H16N4O6.0.5H2O,5.31E-02,333.3
Diethylacetyl salicylate,C13H16O4,2.80E-03,236.27
Methyl phthalyl ethyl glycollate,C13H16O6,4.10E-03,268.27
Helicin (0.75 hydrate),C13H16O7.0.75H2O,5.51E-02,297.78
MCPB-ethyl,C13H17ClO3,3.90E-05,256.73
"Uridine, 2'-deoxy-5-iodo-, 5'-butanoate",C13H17IN2O6,1.45E+03,424.19
"Uridine, 2'-deoxy-5-iodo-, 5'-(2-methylpropanoate)",C13H17IN2O6,1.75E+03,424.19
N-Butylcinnamamide,C13H17NO,9.70E-04,203.29
"2-p-Aminobenzenesulphonamido-4,5,6-trimethylpyrimidine",C13H16N4O2S,5.13E-04,292.36
"N,N-Diethylcinnamamide",C13H17NO,7.45E-03,203.29
"Acetamide, 2-(benzoyloxy)-N-butyl",C13H17NO3,1.74E-03,235.29
N-Acetyl-l-phenylalanine ethyl ester,C13H17NO3,1.76E-02,235.29
2-( p-Acetaminophenoxy)tetrahydropyran,C13H17NO3,3.00E-03,235.29
Pivalyl acetaminophen,C13H17NO3,4.68E-04,235.29
"Acetamide, 2-(benzoyloxy)-N-(1,1-dimethylethyl)-",C13H17NO3,1.36E-03,235.29
"Acetamide, 2-(benzoyloxy)-N,N-diethyl",C13H17NO3,8.50E-03,235.29
"Butanamide, 4-(benzoyloxy)-N,N-dimethyl",C13H17NO3,5.91E-02,235.29
Butyl acetaminophen,C13H17NO4,6.37E-04,251.28
"Benzoic acid, 2-hydroxy-, 2-(diethylamino)-2-oxoethyl ester",C13H17NO4,2.79E-03,251.28
Isobutyl acetaminophen,C13H17NO4,1.51E-03,251.28
O-(Pivaloyloxymethyl) salicylamide,C13H17NO4,2.43E-03,251.28
"Propanoic acid, 2,2-dimethyl-, [2-(aminocarbonyl)phenoxy]methyl ester",C13H17NO4,2.43E-03,251.28
"Acetamide, 2-(benzoyloxy)-N-ethyl-N-(2-hydroxyethyl)-",C13H17NO4,4.30E-02,251.28
N-Acetyl-l-tyrosine ethyl ester,C13H17NO4,1.39E-02,251.28
