Name,Formula,Solubility,Molecular Weight
Hexachloroethane,C2Cl6,2.11E-04,236.74
Cyanogen,C2N2,1.57E+01,52.04
Cyanogen azidodithiocarbonate,C2N4S2,1.04E-02,144.18
Thioperoxydicarbonic diazide,C2N6S4,1.27E-03,236.32
"1,3-Dichlorohydantoin",C3H2Cl2N2O2,4.11E-02,168.97
Malononitrile,C3H2N2,1.78E+00,66.06
Parabanic acid,C3H2N2O3,3.95E-01,114.06
"?,?,?-Trichlorolactic acid",C3H3Cl3O3,2.27E+00,193.41
Acrylonitrile,C3H3N,1.30E+00,53.06
Rhodanine,C3H3NOS2,1.69E-02,133.19
Cyanuric acid,C3H3N3O3,2.01E-02,129.08
Cyamelide,C3H3N3O3,7.75E-04,129.08
Trithiocyanuric acid,C3H3N3S3,1.35E-03,177.27
Propyne,C3H4,9.09E-02,40.07
Desethyl simazine,C3H4ClN5,1.20E-03,145.55
"1,2-Dichloropropene",C3H4Cl2,2.43E-02,110.97
"trans-1,3-Dichloropropene",C3H4Cl2,9.86E-03,110.97
"cis-1,3-Dichloropropene",C3H4Cl2,1.70E-02,110.97
"trans-1,3-Dichloro-propene",C3H4Cl2,2.52E-02,110.97
Dalapon,C3H4Cl2O2,3.51E+00,142.97
Cyanoacetamide,C3H4N2O,1.55E+00,84.08
Hydantoin,C3H4N2O2,2.94E+00,100.08
2-Imidazole sulfonic acid,C3H4N2O3S,5.01E-01,148.14
Ammelide,C3H4N4O2,6.00E-04,128.09
Acrolein,C3H4O,5.67E+00,56.06
Malonic acid,C3H4O4,4.22E+00,104.06
Allyl bromide,C3H5Br,3.17E-02,120.98
"1,2-Dibromo-3-chloropropane",C3H5Br2Cl,4.23E-03,236.34
Allyl chloride,C3H5Cl,4.69E-02,76.53
Chloroacetone,C3H5ClO,8.92E-01,92.53
Epichlorohydrin,C3H5ClO,6.60E-01,92.53
"1,1-Dichloro-1-nitropropane",C3H5Cl2NO2,3.15E-02,157.98
"1,2,3-Trichloropropane",C3H5Cl3,1.29E-02,147.43
?-Iodopropionic acid,C3H5IO2,3.72E-01,199.98
Propionitrile,C3H5N,6.15E-02,55.08
Ethyl isocyanide,C3H5N,1.81E-02,55.08
Acrylamide,C3H5NO,5.46E+00,71.08
Formylglycine,C3H5NO3,1.85E+00,103.08
Ethylnitrosocyanamide,C3H5N3O,1.40E-01,99.09
Nitroglycerin,C3H5N3O9,5.50E-03,227.09
Ammeline,C3H5N5O,5.90E-04,127.11
Cyclopropane,C3H6,1.10E-02,42.08
Propylene,C3H6,7.84E-03,42.08
1-Bromo-3-chloropropane,C3H6BrCl,1.42E-02,157.44
Bronopol,C3H6BrNO4,1.00E+00,199.99
Trimethylene bromide,C3H6Br2,8.41E-03,201.9
1-Chloro-1-nitropropane,C3H6ClNO2,6.42E-02,123.54
1-Chloro-2-nitropropane,C3H6ClNO2,6.42E-02,123.54
Propylene dichloride,C3H6Cl2,2.48E-02,112.99
"1,3-Dichloropropane",C3H6Cl2,2.42E-02,112.99
"1,3-Dichloro-2-propanol",C3H6Cl2O,8.08E-01,128.99
Malonic acid diamide,C3H6N2O2,7.51E-01,102.09
Methylglyoxime,C3H6N2O2,4.51E-01,102.09
Methylnitrosoacetamide,C3H6N2O2,1.70E-01,102.09
1-Acetylurea,C3H6N2O2,1.27E-01,102.09
Hydantoic acid,C3H6N2O3,3.29E-01,118.09
"Glycerol 1,2-dinitrate",C3H6N2O7,3.39E-01,182.09
"Glycerol 1,3-dinitrate",C3H6N2O7,3.99E-01,182.09
Ethylenethiourea,C3H6N2S,8.92E-02,102.16
Methylmercuridicyanodiamide,C3H6N4Hg,7.27E-02,298.7
Melamine,C3H6N6,2.73E-02,126.12
Cyclonite,C3H6N6O6,2.69E-04,222.12
Propylene oxide,C3H6O,6.39E+00,58.08
Acetone,C3H6O,,58.08
Propaldehyde,C3H6O,5.27E+00,58.08
Propionic acid,C3H6O2,2.73E-01,74.08
Ethyl formate,C3H6O2,1.35E+00,74.08
Methyl acetate,C3H6O2,2.77E-02,74.08
?-Trimethylene trisulphide dioxide,C3H6O2S3,9.82E-02,170.27
?-Trimethylene trisulphide dioxide,C3H6O2S3,2.55E-01,170.27
dl-Glyceraldehyde,C3H6O3,3.23E-01,90.08
Hydracrylic acid,C3H6O3,3.00E+00,90.08
s-Trioxane,C3H6O3,2.03E+00,90.08
?-Trimethylene trisulphoxide,C3H6O3S3,7.18E-03,186.27
?-Trimethylene trisulphoxide,C3H6O3S3,7.61E-02,186.27
"1,3-Propane sultone",C3H6O3S,8.19E-01,122.14
Isopropyl bromide,C3H7Br,2.60E-02,123
Propyl bromide,C3H7Br,1.93E-02,123
3-Bromo-1-propanol,C3H7BrO,1.02E+00,139
Isopropyl chloride,C3H7Cl,3.92E-02,78.54
Chloropropane,C3H7Cl,3.48E-02,78.54
3-Chloro-1-propanol,C3H7ClO,2.64E+00,94.54
Iodopropane,C3H7I,6.26E-03,169.99
Isopropyl iodide,C3H7I,8.06E-03,169.99
1-Nitropropane,C3H7NO2,1.55E-01,89.09
2-Nitropropane,C3H7NO2,1.88E-01,89.09
2-Aminopropanoic acid,C3H7NO2,1.84E+00,89.09
?-Alanine,C3H7NO2,3.96E+00,89.09
d-Alanine,C3H7NO2,1.59E+00,89.09
